"","Date","Time","Latitude (deg)","Longitude (deg)","Altitude (km)","Velocity (km/s)","vx","vy","vz","Total radiated Energy (J)","Total Impact Energy (kt)"
"1",2024-09-06,"12:36:22",-12.9,117.7,27,22.6,21.4,-6.7,-2.5,2.1e+10,0.076
"2",2024-09-04,"16:39:32",18,122.9,25,19.7,3.9,-19.1,2.6,6.2e+10,0.2
"3",2024-08-25,"06:50:49",-33.6,24.5,38.2,20.1,-5.5,17.9,7.4,2.6e+10,0.092
"4",2024-08-20,"12:53:51",NA,NA,NA,NA,NA,NA,NA,6e+10,0.19
"5",2024-07-30,"19:27:16",-6.7,-124.4,39,14.6,-2,14.3,-2.2,2.7e+10,0.095
"6",2024-07-20,"14:08:10",-73.7,22.5,38.8,30.8,28.1,-6.5,10.9,2.433e+12,5.1
"7",2024-07-13,"03:10:41",-7.4,-41,32,NA,NA,NA,NA,5.9e+11,1.5
"8",2024-07-12,"00:09:35",2.6,46.6,41.5,22.4,-8.4,-1.8,-20.7,8.5e+10,0.26
"9",2024-06-28,"16:05:19",55.1,140.6,29.2,15.3,0.6,-15.1,-2.2,3.8e+10,0.13
"10",2024-06-18,"21:01:32",32.2,-31.8,28.7,16.2,1.8,14.7,-6.6,2.2e+10,0.079
"11",2024-06-18,"13:51:19",44.3,173.2,44.3,35.4,-0.7,15,-32.1,4.91e+11,1.2
"12",2024-06-03,"01:13:51",-63.1,-53.2,60,NA,NA,NA,NA,2.6e+10,0.092
"13",2024-06-01,"23:24:59",-1,-15.9,26.5,12.6,-11.9,2.1,-3.7,7.9e+10,0.25
"14",2024-05-27,"03:19:36",1.7,-39.4,56,39.2,-33.2,18.4,9.7,8.4e+10,0.26
"15",2024-05-24,"16:19:59",6.6,114.2,42,36.5,26.5,-23.8,8.1,5.4e+10,0.18
"16",2024-05-18,"22:46:50",41,-8.8,74.3,40.4,-26.5,-24.1,18.7,3.7e+10,0.13
"17",2024-05-15,"12:48:28",49.8,-54.1,64.2,NA,NA,NA,NA,2.8e+10,0.098
"18",2024-05-05,"20:11:03",-7.1,-112.7,39,13.9,8.4,11,-0.7,3.7e+10,0.13
"19",2024-04-09,"04:47:44",36.5,-37.8,36.3,NA,NA,NA,NA,3.3e+10,0.11
"20",2024-03-17,"06:17:58",27.6,117.2,42.1,25.6,1,-25.1,4.9,3.7e+10,0.13
"21",2024-02-26,"11:21:01",22.9,57.1,33.1,31.3,-29.3,5.1,9.7,3.7e+10,0.13
"22",2024-02-05,"00:32:54",-13.8,123.7,23,14.4,14.1,-2.7,1.6,4.6e+10,0.15
"23",2023-12-30,"21:04:34",-63.4,79.9,37,28.3,20.7,14.6,12.7,2.17e+11,0.6
"24",2023-12-11,"08:32:58",-53.6,146,31.7,26,-13.7,-16.7,14.5,1.22e+11,0.36
"25",2023-12-05,"23:10:11",10,42.9,24.1,20.6,-18.5,-1.8,-8.9,2.1e+10,0.076
"26",2023-11-21,"22:17:29",-9.4,17.4,37,18.3,-17.9,-3.9,0.1,3.8e+10,0.13
"27",2023-10-30,"07:22:56",-42.9,-44.7,33.8,17.6,2.8,12.7,11.9,2.6e+10,0.092
"28",2023-10-26,"08:58:25",45.9,-174.8,44.2,30.2,15.5,24.9,-7,2.91e+11,0.78
"29",2023-10-23,"02:51:27",-49.6,75.4,39,NA,NA,NA,NA,5.4e+10,0.18
"30",2023-10-16,"17:14:52",-6.5,-65.4,35.3,19.8,-12.2,14.9,-4.8,3e+10,0.1
"31",2023-10-14,"22:55:26",-8.4,-161.9,37,19.3,19.3,-0.4,-1.3,5.4e+10,0.18
"32",2023-09-28,"20:32:35",13.2,72.4,37,NA,NA,NA,NA,5e+10,0.16
"33",2023-09-07,"15:34:46",27,150.8,NA,NA,NA,NA,NA,2.1e+10,0.076
"34",2023-09-03,"04:28:01",-43.2,102.2,37,NA,NA,NA,NA,2.3e+10,0.082
"35",2023-08-17,"05:57:38",48.6,100.1,35.4,16.1,6.4,-12.5,-7.8,8.1e+10,0.25
"36",2023-08-05,"19:54:50",19.9,-131.7,44,21.8,3.3,20.4,-6.8,1.719e+12,3.8
"37",2023-07-26,"03:41:54",18.9,-103.4,36.1,15.6,-9.5,12.2,1.9,1.51e+11,0.44
"38",2023-07-07,"16:15:31",14.5,-126.6,38.3,25.7,2.6,4.1,-25.2,2.6e+10,0.092
"39",2023-07-06,"05:52:31",-59.3,-145.4,71,NA,NA,NA,NA,3e+10,0.1
"40",2023-06-21,"19:39:13",12.4,62.8,40.4,16.5,7.3,-2,-16.4,5.43e+11,1.4
"41",2023-05-20,"11:22:23",-17.8,141.9,29,27.9,25.4,6.9,9.3,3.584e+12,7.2
"42",2023-04-26,"13:14:59",47,-10.7,29.6,16.2,-15.6,-3.8,-1.8,2.4e+10,0.086
"43",2023-04-15,"08:22:01",-20.1,36,41.4,17.2,1.6,-14.7,8.8,3.097e+12,6.3
"44",2023-04-06,"14:47:39",57.4,109.9,31.2,22.1,8.6,3.6,-20,7.2e+10,0.23
"45",2023-04-01,"00:02:03",-16.8,76,61.8,46.4,21.4,-40.6,7.1,2.4e+10,0.086
"46",2023-03-20,"06:53:23",-23.7,132.6,34.8,NA,NA,NA,NA,2.7e+10,0.095
"47",2023-03-11,"08:21:28",-74.7,79.5,32,NA,NA,NA,NA,4.44e+11,1.1
"48",2023-03-03,"02:53:54",40.1,87.4,32,25.3,16.1,-19.3,2.6,6.4e+10,0.2
"49",2023-02-19,"06:15:34",7.9,109.9,37,23,-1.1,-22.9,1.2,2.03e+11,0.57
"50",2023-02-14,"22:55:25",-48,-53.3,32.3,15.6,-15.1,3.7,-0.9,1.84e+11,0.52
"51",2023-02-02,"20:49:22",-26.2,-143.1,33,NA,NA,NA,NA,3e+10,0.1
"52",2023-01-22,"17:11:43",3.5,-76.2,61,NA,NA,NA,NA,2e+10,0.073
"53",2023-01-17,"06:56:59",33.1,-173.7,38,14.2,7.8,-5.6,-10.5,2.9e+10,0.1
"54",2023-01-11,"23:59:50",31.5,18.6,33.5,17.5,-16.1,4.5,-5.2,4.6e+10,0.15
"55",2023-01-09,"01:17:14",-45.7,135,27,16.7,2.3,-0.4,16.5,9e+10,0.28
"56",2023-01-02,"16:38:02",1.5,129,44.6,NA,NA,NA,NA,5e+10,0.16
"57",2022-12-29,"06:52:09",42.3,92.9,32.3,16.4,0.2,-12.3,-10.9,6.2e+10,0.2
"58",2022-12-13,"17:26:01",32.75,-2.1,20,18.7,-5.7,14,11,6.2e+10,0.2
"59",2022-11-20,"15:35:21",-17,-95.7,50,NA,NA,NA,NA,3.3e+10,0.11
"60",2022-11-20,"13:53:54",15,-109.7,26,21.7,9,12.3,15.4,3.4e+10,0.12
"61",2022-11-08,"08:54:01",77.2,-93.2,41,NA,NA,NA,NA,3.9e+10,0.13
"62",2022-10-28,"17:40:11",7.1,-118.9,45,NA,NA,NA,NA,4.7e+10,0.16
"63",2022-10-20,"20:55:07",26.6,165.1,65.6,NA,NA,NA,NA,4.7e+10,0.16
"64",2022-09-15,"02:49:02",22.7,97.6,31.5,NA,NA,NA,NA,2.7e+10,0.095
"65",2022-09-14,"23:31:15",40.8,63.4,35.8,17.4,-13.9,-4.3,9.5,3.2e+10,0.11
"66",2022-09-04,"03:54:55",20,165.9,14,21.9,18.4,-11.4,-3.5,2.4e+10,0.086
"67",2022-08-21,"16:35:49",-6.3,51.5,37,NA,NA,NA,NA,2.1e+10,0.076
"68",2022-08-14,"07:39:18",-35,78.4,55.5,NA,NA,NA,NA,4.68e+11,1.2
"69",2022-07-28,"01:36:08",-6,-86.9,37.5,29.9,-17.1,23.5,-7.2,2.51e+11,0.68
"70",2022-07-27,"04:41:30",-44.8,-2.9,38.1,19.8,-6.1,17.7,6.5,5.24e+11,1.3
"71",2022-07-25,"07:28:17",-40.5,76.6,33.6,15.2,-2.1,-2.2,14.9,8.7e+10,0.27
"72",2022-07-22,"00:16:19",-23.3,-20.5,32.7,17.4,-7.1,15.5,-3.3,6e+10,0.19
"73",2022-07-20,"10:56:53",-43,-59.6,32.2,16,-0.9,15.6,-3.6,8.6e+10,0.27
"74",2022-07-08,"01:36:37",21.3,130.1,22,20.2,17.9,-4.1,-8.3,2.7e+10,0.095
"75",2022-07-07,"01:49:26",-41.7,175,35,NA,NA,NA,NA,7.34e+11,1.8
"76",2022-06-30,"04:02:57",-31.9,-12.9,56,NA,NA,NA,NA,9.1e+10,0.28
"77",2022-06-26,"20:16:26",-69.7,164.7,19,20.1,0.2,-18.3,8.2,6.5e+10,0.21
"78",2022-06-14,"13:12:28",4.6,-39.1,61,NA,NA,NA,NA,9.1e+10,0.28
"79",2022-06-07,"22:53:17",40.8,-127.1,41.1,24.9,23.1,2,-9.2,3.1e+10,0.11
"80",2022-05-24,"02:38:20",16.3,-30.4,39.8,NA,NA,NA,NA,1.26e+11,0.37
"81",2022-04-21,"22:15:28",-55.5,-68.9,28.4,12.7,-4.2,11.6,3.2,3.9e+10,0.13
"82",2022-04-12,"21:59:12",-8.2,57.8,23.8,20.6,-19.3,-6.3,3.6,5.2e+10,0.17
"83",2022-04-04,"00:30:39",-3.2,-64.3,31.5,19.7,-17.6,5.3,-7.2,2.7e+10,0.095
"84",2022-03-30,"18:19:18",-45.9,-171.4,74,NA,NA,NA,NA,2e+10,0.073
"85",2022-03-28,"10:20:24",-7.7,74.3,29,19.6,-16.6,-10.4,0.1,3.78e+11,0.98
"86",2022-03-24,"03:43:42",1.9,-20.6,56.7,18.2,-12.4,11.4,6.9,7.6e+10,0.24
"87",2022-03-11,"21:22:46",70,-9.1,33.3,17.2,-11.5,-5.3,-11.7,1.851e+12,4
"88",2022-03-06,"15:06:15",-4.1,-99.5,NA,NA,NA,NA,NA,2e+10,0.073
"89",2022-03-03,"00:03:03",-50.4,45.9,72,NA,NA,NA,NA,2.1e+10,0.076
"90",2022-02-17,"12:08:06",33.5,-38.9,41,NA,NA,NA,NA,2.7e+10,0.095
"91",2022-02-17,"03:53:24",5.4,56.4,32.4,21.5,-4.4,-19.6,-7.7,6.5e+10,0.21
"92",2022-02-07,"20:06:26",-28.7,11.4,26.5,13.1,-8.9,-7.3,-6.3,3.48e+12,7
"93",2022-02-03,"19:50:40",-13.3,142.2,36,22.8,17.6,9.7,-10.8,1.52e+11,0.44
"94",2022-01-30,"02:06:18",50,-38,36.6,20,-10.8,16.8,1,5.4e+10,0.18
"95",2022-01-28,"05:04:45",-4.5,-73.9,37,NA,NA,NA,NA,3.41e+11,0.9
"96",2022-01-11,"03:33:13",-58.4,-160.2,40.8,22.8,-2.5,5.3,22,1.264e+12,2.9
"97",2022-01-01,"20:23:04",66.1,-152.6,35.5,NA,NA,NA,NA,1.45e+11,0.42
"98",2021-12-29,"03:15:35",-69.7,115,44,22,7.4,-8.6,18.8,2e+10,0.073
"99",2021-12-23,"21:27:58",-4.9,-29.6,37,NA,NA,NA,NA,2.1e+10,0.076
"100",2021-12-20,"23:15:55",62.7,60.3,56,18.2,10.3,-7.1,-13.2,3.2e+10,0.11
"101",2021-12-10,"01:19:06",-47.5,172.6,27.5,NA,NA,NA,NA,5e+10,0.16
"102",2021-11-28,"18:06:50",32.6,113.5,38.4,19.7,0.2,-2.2,-19.6,4e+10,0.13
"103",2021-11-17,"15:53:21",-6.8,119.1,35,23,7,-18.3,-12,2.4e+10,0.086
"104",2021-11-08,"05:28:28",-33.8,-7.7,36,NA,NA,NA,NA,3.3e+10,0.11
"105",2021-10-28,"09:10:30",-4.1,-138.7,35.2,NA,NA,NA,NA,3e+10,0.1
"106",2021-10-21,"10:32:02",51.5,51.4,30,15.9,-14.1,-7,-1.9,3.7e+10,0.13
"107",2021-10-20,"08:41:50",13.8,-140.4,28,NA,NA,NA,NA,6e+10,0.19
"108",2021-10-20,"00:43:57",59,154.3,31.4,27.5,12.9,4.2,-23.9,2e+10,0.073
"109",2021-09-29,"10:50:59",53.9,-148,28,21.2,-3.5,-9,-18.9,1.37e+11,0.4
"110",2021-09-06,"17:55:42",-2.1,-111.8,26,13.6,-4.4,6.9,10.9,3.1e+10,0.11
"111",2021-07-30,"08:06:34",-7.8,90.1,63,NA,NA,NA,NA,1.46e+11,0.42
"112",2021-07-29,"13:19:57",42.4,98.4,26.4,14.7,-1.6,-11.9,-8.4,3.7e+10,0.13
"113",2021-07-07,"13:41:14",NA,NA,NA,NA,NA,NA,NA,3.3e+10,0.11
"114",2021-07-05,"03:46:24",44.3,-164.2,43.4,15.7,0.7,15.7,-0.5,7.4e+11,1.8
"115",2021-06-09,"05:43:59",-17.9,-55.3,NA,NA,NA,NA,NA,2.3e+10,0.082
"116",2021-05-16,"15:51:08",-52.1,-171.2,37,NA,NA,NA,NA,3.8e+10,0.13
"117",2021-05-06,"05:54:27",-34.7,141,31,26.6,9.6,-24.4,-4.6,2.1e+10,0.076
"118",2021-05-02,"14:12:49",12.3,-43.4,NA,NA,NA,NA,NA,2.5e+10,0.089
"119",2021-04-13,"02:16:47",26.8,-79.1,44.4,14.1,-2.8,12.6,5.6,2.1e+10,0.076
"120",2021-04-02,"15:52:58",71.2,106.7,40,14.1,-8.9,6.3,-9,1.37e+11,0.4
"121",2021-03-06,"08:43:06",-48.6,90.4,31.1,18.1,12.7,-4.7,12,1.41e+11,0.41
"122",2021-03-05,"13:50:01",-81.1,141.1,32.5,23.3,10.1,-8.4,19.2,3.9e+10,0.13
"123",2021-02-28,"03:47:37",9.2,-64.1,NA,NA,NA,NA,NA,2.8e+10,0.098
"124",2021-02-09,"23:27:29",75.8,-92.8,31,13.1,-5.2,6.3,-10.3,3e+10,0.1
"125",2021-02-02,"10:03:21",48.7,80.1,20,12.8,4,-6.7,-10.1,3.1e+10,0.11
"126",2021-01-31,"02:59:39",5.3,115.2,39.4,15.2,14,-5.8,1.7,2.67e+11,0.72
"127",2021-01-29,"16:12:47",38.8,-51.3,30,14.3,-14.2,1.9,-0.6,7.7e+10,0.24
"128",2021-01-25,"03:01:37",38.5,-47.6,19.1,NA,NA,NA,NA,7.5e+10,0.23
"129",2021-01-24,"07:33:43",-45,95.5,37.5,19.2,13.3,-3.7,13.3,6.1e+10,0.2
"130",2020-12-29,"20:32:22",14.9,-158.2,33,14.4,-3,10.2,-9.7,4.9e+10,0.16
"131",2020-12-28,"17:27:53",36.8,-54.7,28.3,15.2,1.5,3.5,-14.7,5.7e+10,0.18
"132",2020-12-22,"23:23:33",31.9,96.2,35.5,13.6,-2.6,5.9,-12.1,4.898e+12,9.5
"133",2020-11-28,"16:34:11",33.3,135.1,28.1,19.6,1.8,-16.5,-10.4,2.6e+10,0.092
"134",2020-11-25,"12:20:50",-30.5,-81,NA,NA,NA,NA,NA,2.1e+10,0.076
"135",2020-11-07,"21:27:04",59.8,16.8,22.3,16.7,-10.8,1.2,-12.7,1.11e+11,0.33
"136",2020-10-26,"15:09:10",-5.9,160.4,28.5,17.6,10.9,-13.8,-0.1,1.14e+11,0.34
"137",2020-10-23,"20:51:39",30,-71.9,48,NA,NA,NA,NA,8e+10,0.25
"138",2020-10-22,"17:39:33",22,-133.5,40,17.6,-9.4,14.1,-4.9,4.4e+10,0.15
"139",2020-10-21,"18:57:33",12.9,-150.2,NA,NA,NA,NA,NA,2.2e+10,0.079
"140",2020-10-21,"06:38:49",-29.7,-93.9,39,NA,NA,NA,NA,2.7e+10,0.095
"141",2020-10-19,"07:05:47",48.6,93.9,40.7,NA,NA,NA,NA,2.1e+10,0.076
"142",2020-10-18,"10:52:43",-11.4,-135.8,36,16.4,15.6,1.5,4.9,3.6e+10,0.12
"143",2020-09-18,"08:05:27",2.4,-169.7,46,11.7,10.2,2.9,-4.9,4.1e+10,0.14
"144",2020-08-30,"16:08:22",26,133.5,27.8,23.4,7.8,-21.7,3.7,6.4e+10,0.2
"145",2020-08-02,"16:36:25",-35.1,-34.2,38,11.1,0.5,6,9.3,7.4e+10,0.23
"146",2020-07-22,"02:55:40",-20,-103.8,36,NA,NA,NA,NA,2.2e+10,0.079
"147",2020-07-20,"21:25:09",-51.8,-11.2,31.6,14.1,-2.9,-1,-13.8,5e+10,0.16
"148",2020-07-12,"07:50:32",-48.7,74,29.4,18.3,-5,-13,-11.9,7.5e+10,0.23
"149",2020-05-27,"17:30:18",40.8,41.7,29.3,14.9,-6,-7.3,-11.5,5.7e+10,0.18
"150",2020-05-18,"01:11:09",-38.7,77.2,25,NA,NA,NA,NA,1.62e+11,0.46
"151",2020-05-12,"23:22:56",15.9,174.2,NA,NA,NA,NA,NA,8.3e+10,0.26
"152",2020-05-09,"09:37:15",7.2,-44.2,52.5,NA,NA,NA,NA,4.1e+10,0.14
"153",2020-05-09,"02:56:11",44.8,-131,31.2,14.5,-13,-4,-5,4.1e+10,0.14
"154",2020-04-28,"05:43:17",20.1,-109.4,NA,NA,NA,NA,NA,2.1e+10,0.076
"155",2020-04-18,"13:08:38",12.5,-49.8,NA,NA,NA,NA,NA,2.7e+10,0.095
"156",2020-04-14,"11:11:16",-65.6,-45.6,NA,NA,NA,NA,NA,2e+10,0.073
"157",2020-03-26,"23:27:56",-38.3,23.5,26.5,20.7,-10,3.2,17.8,1.24e+11,0.37
"158",2020-03-23,"16:51:51",-24.4,-67.9,25,NA,NA,NA,NA,1.33e+11,0.39
"159",2020-03-22,"06:44:29",NA,NA,NA,NA,NA,NA,NA,2.5e+10,0.089
"160",2020-03-04,"20:25:59",-53.3,90.8,24.3,19.8,-5.2,2.2,19,3.94e+11,1
"161",2020-02-28,"09:30:34",45.7,15.1,34.5,21.5,-18.2,-11.3,-2.1,1.15e+11,0.34
"162",2020-02-24,"22:21:28",3.6,-96,NA,NA,NA,NA,NA,2e+10,0.073
"163",2020-02-10,"23:48:17",28.2,76.7,41.7,31.7,-27.8,-14.3,-5.2,2.7e+10,0.095
"164",2020-01-27,"05:39:15",30.4,1.5,32.5,19.8,-2,-16.6,-10.6,4.4e+10,0.15
"165",2020-01-24,"11:13:31",28,-35.8,32,21.2,-18.6,-9,-4.7,2.6e+10,0.092
"166",2020-01-21,"20:07:44",33.1,34.3,43.3,27.4,-7.5,-23.5,-11.9,2.8e+10,0.098
"167",2020-01-17,"21:29:49",19.4,-66,14.5,15.5,-13.2,8.1,1.2,9.7e+10,0.29
"168",2020-01-16,"09:31:42",-71.7,-116.4,27.8,12.9,9.8,-4.5,7,5.9e+10,0.19
"169",2020-01-15,"06:31:39",-23.7,-125.2,31.5,NA,NA,NA,NA,1.96e+11,0.55
"170",2020-01-06,"11:03:50",-70.4,-17.5,NA,NA,NA,NA,NA,4.5e+10,0.15
"171",2019-12-21,"14:30:52",56.5,-147.6,35.5,22.2,14.9,-8.1,-14.3,6.5e+10,0.21
"172",2019-12-11,"01:19:11",47.7,161.7,37,17.8,13.7,-10.9,-3.3,3.9e+10,0.13
"173",2019-12-06,"10:19:57",-3.3,-37.7,19.5,NA,NA,NA,NA,4.6e+10,0.15
"174",2019-12-03,"06:46:27",5.6,-52.2,61.5,NA,NA,NA,NA,4.2e+10,0.14
"175",2019-11-28,"20:30:54",35.7,-31.7,35,13,-11.6,-2.5,-5.4,2.7e+10,0.095
"176",2019-11-28,"13:22:10",NA,NA,NA,NA,NA,NA,NA,2.6e+10,0.092
"177",2019-11-28,"11:55:02",-22.1,25.7,22.5,24.7,-22.8,-5.5,7.6,2.5e+10,0.089
"178",2019-11-05,"11:24:51",-10.4,-143.3,38,27.4,5.2,12.3,23.9,1.1e+11,0.33
"179",2019-10-22,"22:21:15",12,-76,40.7,NA,NA,NA,NA,2.7e+10,0.095
"180",2019-10-10,"16:16:36",44.3,122.9,47.3,14.1,1.5,-12.9,-5.4,2.06e+11,0.57
"181",2019-09-28,"10:40:20",-12.5,-107.2,52,20.4,-10.1,11.2,13.7,2.3e+10,0.082
"182",2019-09-27,"13:35:46",25.7,-28.4,NA,NA,NA,NA,NA,3.4e+10,0.12
"183",2019-09-14,"12:39:34",-38.6,-33.5,38,15.9,-12.9,8.1,4.6,1.09e+11,0.33
"184",2019-09-13,"02:02:04",-18.6,126.9,27.4,13.5,5.2,-8.1,9.5,4.2e+10,0.14
"185",2019-09-12,"12:49:48",54.5,9.2,42,18.5,-18.1,-0.4,3.7,1.69e+11,0.48
"186",2019-09-12,"02:34:58",24.9,-47.8,30.6,17.2,-11.7,11.7,4.6,5.9e+10,0.19
"187",2019-08-24,"12:02:59",21.9,-130.4,39.8,13.4,11.1,-5.2,5.4,4e+10,0.13
"188",2019-08-22,"21:47:29",-24.4,-92.9,30.2,NA,NA,NA,NA,2e+10,0.073
"189",2019-08-16,"20:36:05",38.9,7,36,14.9,-3.9,4,-13.8,2.5e+10,0.089
"190",2019-07-23,"20:42:58",44.6,-147.6,30.6,16.1,1.5,15.1,-5.5,2.55e+11,0.69
"191",2019-06-30,"16:52:58",21.2,-129.5,59,42.3,25.2,31.2,-13.3,3.2e+10,0.11
"192",2019-06-30,"08:11:29",-2.5,168.7,NA,NA,NA,NA,NA,2.1e+10,0.076
"193",2019-06-22,"21:25:48",14.9,-66.2,25,14.9,-13.4,6,2.5,2.947e+12,6
"194",2019-06-20,"06:07:32",7.3,-67.6,37,NA,NA,NA,NA,2.8e+10,0.098
"195",2019-05-26,"10:07:55",56.6,-25.3,24.4,17.5,3.8,-5.8,16.1,4.2e+10,0.14
"196",2019-05-25,"06:44:04",-19.2,89.4,29.2,15.8,0.2,-15.7,2.1,4.9e+10,0.16
"197",2019-05-22,"15:16:49",10.8,-37.3,32.6,NA,NA,NA,NA,9.5e+10,0.29
"198",2019-05-21,"13:21:35",-38.8,137.5,31.5,11.5,4.4,-8.5,6.4,6.56e+11,1.6
"199",2019-05-19,"14:47:03",-23.6,132.8,33.3,15.2,7.3,-12.2,5.3,3.3e+10,0.11
"200",2019-05-12,"22:41:48",6.2,-57.1,NA,NA,NA,NA,NA,2.1e+10,0.076
"201",2019-05-04,"15:35:46",28.4,-88.3,26.5,NA,NA,NA,NA,2.2e+10,0.079
"202",2019-04-22,"21:42:11",-48.8,67.8,33.3,11.4,3.4,-4.2,10,1.24e+11,0.37
"203",2019-04-14,"17:54:33",18.3,-74.6,30.6,15.9,-2.5,5.9,-14.6,2.9e+10,0.1
"204",2019-04-06,"11:59:09",56.5,94.9,41.5,18.1,6.2,11.1,-12.9,7e+10,0.22
"205",2019-04-04,"22:19:01",35.3,-93.9,NA,NA,NA,NA,NA,2.8e+10,0.098
"206",2019-03-27,"12:50:34",-41.8,-7.4,NA,NA,NA,NA,NA,2.2e+10,0.079
"207",2019-03-19,"02:06:39",-24,140.3,28.7,16.2,10.2,0.4,12.6,2e+10,0.073
"208",2019-03-15,"12:26:56",63.7,95.7,31.5,14.4,5.4,-13.2,1.7,4.6e+10,0.15
"209",2019-02-18,"10:00:43",-15.5,25.3,26,20.8,-16.6,-12.6,0.6,1.958e+12,4.2
"210",2019-02-01,"18:17:10",22.5,-83.8,23.7,16.3,-2.4,13.6,8.7,5.79e+11,1.4
"211",2019-01-29,"20:47:20",NA,NA,NA,NA,NA,NA,NA,2.5e+10,0.089
"212",2019-01-22,"09:18:01",18,6.5,42.5,11.6,-8.6,-5.9,5,3.6e+10,0.12
"213",2018-12-23,"23:38:03",-47.5,-174.4,31.8,16.5,9.9,7.6,10.8,8.9e+10,0.27
"214",2018-12-18,"23:48:20",56.9,172.4,26,13.6,6.3,-3,-31.2,3.13e+13,49
"215",2018-11-20,"17:30:28",25.3,-6.7,27.4,17.4,-10.1,13.9,3,4.22e+11,1.1
"216",2018-11-17,"21:48:24",47.3,-172.9,32.5,19.1,7.6,17.3,-2.7,2.2e+11,0.61
"217",2018-11-15,"08:02:44",42,-57,NA,NA,NA,NA,NA,2e+10,0.073
"218",2018-11-14,"04:03:47",-37.6,83.5,37,NA,NA,NA,NA,3.8e+10,0.13
"219",2018-10-24,"21:19:07",-6.7,-148.6,33.3,NA,NA,NA,NA,4.7e+10,0.16
"220",2018-10-22,"07:11:03",NA,NA,NA,NA,NA,NA,NA,2.6e+10,0.092
"221",2018-10-05,"00:27:04",-39.8,-31.7,31.5,14.7,-13.2,-6.5,-0.4,3.8e+10,0.13
"222",2018-09-25,"14:10:33",-23.5,56.8,33,16.5,-16.2,2.8,0.6,8.06e+11,1.9
"223",2018-09-25,"00:16:59",-34.3,44.9,40.7,12.5,-11,2.5,-5.5,5.3e+10,0.17
"224",2018-09-20,"18:29:03",-67.3,75.1,NA,11.1,-5.6,-7.9,5.5,8.3e+10,0.26
"225",2018-09-17,"01:08:02",-6.8,-27.8,NA,NA,NA,NA,NA,1.5e+11,0.43
"226",2018-09-13,"00:51:21",42.5,-50.1,NA,NA,NA,NA,NA,4.2e+10,0.14
"227",2018-08-27,"04:36:45",-1.7,141.4,33,16.1,9.8,-9.6,-8.4,2.4e+10,0.086
"228",2018-08-21,"12:26:14",-39.2,-162.9,37,NA,NA,NA,NA,2.2e+10,0.079
"229",2018-07-27,"09:35:14",-58.8,105.8,32,NA,NA,NA,NA,1.05e+11,0.32
"230",2018-07-25,"21:55:26",76.9,-69,43.3,24.4,20.4,12.9,-3.8,8.77e+11,2.1
"231",2018-07-17,"15:17:37",82.5,-136.7,NA,NA,NA,NA,NA,2.11e+11,0.59
"232",2018-06-26,"17:51:53",32,12.1,63,14.1,-10,-1,-9.9,2.9e+10,0.1
"233",2018-06-21,"01:16:20",52.8,38.1,27.2,14.4,-8.9,-4.3,-10.5,1.224e+12,2.8
"234",2018-06-02,"16:44:12",-21.2,23.3,28.7,16.9,0.9,-16.4,3.9,3.75e+11,0.98
"235",2018-05-12,"03:26:46",-6.5,173.7,34,NA,NA,NA,NA,1.93e+11,0.54
