"","Date","Time","Latitude (deg)","Longitude (deg)","Altitude (km)","Velocity (km/s)","vx","vy","vz","Total radiated Energy (J)","Total Impact Energy (kt)"
"236",2018-05-08,"02:27:13",32,-60.7,NA,NA,NA,NA,NA,7.3e+10,0.23
"237",2018-05-03,"07:23:59",46.9,-7.5,39,11.5,1.3,-2.1,-11.2,3.8e+10,0.13
"238",2018-04-30,"13:17:57",-45.5,-1.4,34,13.1,8.7,-9.5,2.5,3e+10,0.1
"239",2018-04-21,"12:06:04",-59,45.8,28.2,14.6,7.1,-4.6,11.9,3.6e+10,0.12
"240",2018-04-19,"14:02:27",7.5,3.6,30,20.9,-9.1,-2.5,18.6,7.2e+10,0.23
"241",2018-04-19,"13:39:38",-22.2,72.6,31.5,10.9,-5.9,-9.1,1.4,5.12e+11,1.3
"242",2018-04-07,"03:05:09",72.4,-78.7,31.5,NA,NA,NA,NA,8.6e+10,0.27
"243",2018-02-21,"01:28:03",-13.5,-37.1,31.5,13.1,-0.9,13.1,-0.4,7.1e+10,0.22
"244",2018-02-15,"13:38:22",-43.8,-1.1,50.7,NA,NA,NA,NA,2.7e+10,0.095
"245",2018-02-12,"02:15:19",-15.9,-58.9,NA,NA,NA,NA,NA,3.9e+10,0.13
"246",2018-02-08,"22:21:41",42.9,179.7,43.5,NA,NA,NA,NA,2.59e+11,0.7
"247",2018-02-01,"12:21:36",-19.4,104.3,37,16.5,8.1,-8.4,-11.7,1.9e+11,0.53
"248",2018-01-22,"22:06:30",14,-17.4,NA,NA,NA,NA,NA,3.2e+10,0.11
"249",2018-01-15,"02:18:38",-52,57.2,43.6,23.7,18.6,-12.1,8.4,1.99e+11,0.56
"250",2018-01-06,"21:24:22",55.8,52.5,26,21,0.8,2.2,-20.9,2.8e+10,0.098
"251",2018-01-06,"18:24:28",-39.5,12.8,26,NA,NA,NA,NA,3.6e+10,0.12
"252",2017-12-31,"09:36:10",-63.5,-101.3,64.5,NA,NA,NA,NA,4.4e+10,0.15
"253",2017-12-29,"12:47:31",14.6,-49.5,38,NA,NA,NA,NA,1.1e+11,0.33
"254",2017-12-28,"17:45:44",NA,NA,NA,NA,NA,NA,NA,1.14e+11,0.34
"255",2017-12-15,"13:14:37",60.2,170,20,31.4,27.8,-4.7,-13.9,3.114e+12,6.4
"256",2017-11-19,"04:17:32",-24.2,135,33.3,11.4,6.7,-3.4,8.6,2.8e+10,0.098
"257",2017-10-26,"22:05:35",-21.3,177.6,42.5,NA,NA,NA,NA,5.58e+11,1.4
"258",2017-10-23,"15:31:23",28.8,44.6,35.4,16.7,-5.7,-10.7,-11.5,2.4e+10,0.086
"259",2017-10-15,"04:33:16",-65.2,128.2,24.1,15.9,9.5,-8.3,9.7,3.3e+10,0.11
"260",2017-10-09,"12:51:48",-18.3,-64.1,NA,NA,NA,NA,NA,3e+10,0.1
"261",2017-10-04,"12:07:05",28.1,99.4,37,14.6,-8.5,-9,7.8,1.92e+11,0.54
"262",2017-09-05,"05:11:27",49.3,-116.9,36,14.7,12.7,-6.1,-4.2,3.8e+10,0.13
"263",2017-07-31,"22:01:35",24.7,-118.5,NA,NA,NA,NA,NA,5.8e+10,0.19
"264",2017-07-23,"06:12:38",-6.6,-69.7,38,17.2,-0.4,8.7,-14.8,3.5e+10,0.12
"265",2017-07-13,"09:30:36",23.1,60.7,35,13.7,-10,-6.5,-6.8,7.3e+10,0.23
"266",2017-06-30,"14:26:45",-34.3,134.5,20,15.2,10.9,-9.7,4.2,9.4e+10,0.29
"267",2017-06-23,"20:21:55",57,143.7,35.1,24.3,17.7,13.1,-10.3,1.84e+11,0.52
"268",2017-06-20,"13:41:32",-54.2,133,33.3,13.6,8.7,-5.7,8.8,6.36e+11,1.6
"269",2017-05-24,"07:03:03",-9.1,101.8,46,18.4,-6.5,-16.5,-5,9e+10,0.28
"270",2017-05-22,"17:44:39",-49.6,-157.6,33,NA,NA,NA,NA,3.5e+10,0.12
"271",2017-05-14,"09:30:35",-26,32.4,33,NA,NA,NA,NA,3.5e+10,0.12
"272",2017-04-30,"21:28:28",-25.7,56.2,32.4,21.5,-13.4,-14.2,8.9,1.5e+11,0.43
"273",2017-03-11,"04:51:21",28.3,-60.2,28,NA,NA,NA,NA,1.263e+12,2.9
"274",2017-03-09,"04:16:37",40.5,-18,23,36.5,-15.3,25.8,-20.8,4e+11,1
"275",2017-03-08,"22:21:59",-26.1,174.9,37,NA,NA,NA,NA,7.2e+10,0.23
"276",2017-02-25,"01:22:59",29.5,13.5,25.4,12.2,-7.6,-9.3,2.2,6.5e+10,0.21
"277",2017-02-22,"18:47:30",-50.7,-66,NA,NA,NA,NA,NA,3.8e+10,0.13
"278",2017-02-18,"19:48:29",6.2,60.4,38,24.2,-6.6,-22.7,-5.3,2.95e+11,0.79
"279",2017-02-07,"17:37:31",-27.4,-14.8,54,NA,NA,NA,NA,2e+10,0.073
"280",2017-02-06,"06:09:59",10.4,131.6,33.5,NA,NA,NA,NA,6.6e+10,0.21
"281",2016-12-23,"03:29:09",21.3,49.3,42,29.7,-22.4,16.4,-10.5,3.8e+10,0.13
"282",2016-12-07,"04:51:39",-34.5,-126.6,NA,NA,NA,NA,NA,1.17e+11,0.35
"283",2016-11-29,"08:05:38",-30.6,-93.1,NA,NA,NA,NA,NA,3.1e+10,0.11
"284",2016-11-24,"14:10:34",-15.2,80.3,30.6,17.4,9.1,-11.2,9.7,1.38e+11,0.4
"285",2016-11-03,"17:14:29",-39.6,-16.3,37,NA,NA,NA,NA,7.6e+10,0.24
"286",2016-10-01,"20:23:45",36.2,6.7,27.8,14.2,-10,3.9,-9.3,3.1e+10,0.11
"287",2016-09-22,"04:57:49",-51.8,178.5,40,17.5,-2.5,-3.3,17,7.1e+10,0.22
"288",2016-09-14,"15:01:51",-3.5,44.6,54,18.3,3.5,-16.2,7.7,7.6e+10,0.24
"289",2016-08-27,"21:45:13",-56.9,162.2,42,NA,NA,NA,NA,1.42e+11,0.41
"290",2016-08-11,"05:59:58",-43.7,53.8,34.3,14.9,-0.7,-11.4,9.6,1.84e+11,0.52
"291",2016-08-05,"18:02:44",46.4,171.6,32.4,NA,NA,NA,NA,1.21e+11,0.36
"292",2016-07-21,"00:48:53",7.8,-1.6,37,NA,NA,NA,NA,4.5e+10,0.15
"293",2016-07-05,"01:24:26",1,48.6,38.2,25.1,-10.3,-2,-22.8,1.53e+11,0.44
"294",2016-06-27,"10:02:42",15.8,-11.9,33.3,29.1,-29.1,1.5,0.7,4.58e+11,1.2
"295",2016-06-05,"06:12:55",-17.4,138.3,28.7,14.5,6,-11.9,5.7,3.31e+11,0.87
"296",2016-06-02,"10:56:32",33.8,-110.9,NA,NA,NA,NA,NA,1.72e+11,0.49
"297",2016-05-29,"12:14:55",10.2,-48.8,32,NA,NA,NA,NA,6.9e+10,0.22
"298",2016-05-20,"11:59:46",-32.8,15.1,30.6,20.8,5.4,-9.9,17.5,2e+10,0.073
"299",2016-05-16,"10:09:41",3.2,6.6,41.7,12.2,-6.7,-3.3,-9.6,5.19e+11,1.3
"300",2016-05-13,"00:34:01",26.2,-122.3,33,NA,NA,NA,NA,1.01e+11,0.31
"301",2016-04-24,"05:39:24",9.8,-42.8,50,NA,NA,NA,NA,1.46e+11,0.42
"302",2016-04-18,"11:59:10",20.7,-14.5,31.5,17.1,-3.5,2.2,-16.6,2.24e+11,0.62
"303",2016-04-12,"09:51:40",38.3,162.2,NA,NA,NA,NA,NA,2e+10,0.073
"304",2016-04-10,"14:57:53",22,149,35.2,15.1,4.7,-12.9,-6.4,6.55e+11,1.6
"305",2016-03-16,"23:54:20",-49.2,-6.3,42,13.3,-7.6,9.1,6,3.2e+10,0.11
"306",2016-03-03,"01:32:43",-48,51,31.8,11.7,4.8,-7.1,7.9,5.8e+10,0.19
"307",2016-02-23,"03:59:13",32.3,67.2,44,17.9,-8.5,-1.6,-15.7,3.5e+10,0.12
"308",2016-02-21,"05:58:53",36.5,-37.2,32,NA,NA,NA,NA,3.69e+11,0.96
"309",2016-02-19,"08:15:02",0.7,-11.6,39.4,15.5,-14.9,-0.5,4.1,2.02e+11,0.56
"310",2016-02-13,"00:10:13",3.1,117.9,NA,NA,NA,NA,NA,5.1e+10,0.17
"311",2016-02-06,"13:55:09",-30.4,-25.5,31,15.6,2.7,14.5,5,6.853e+12,13
"312",2016-01-27,"09:59:16",-45.8,53.6,37,11.5,-10,-4.4,3.6,5e+10,0.16
"313",2016-01-21,"16:44:54",-10.8,0.7,42.5,18.1,-3.8,-17.7,-1.2,4.6e+10,0.15
"314",2015-12-30,"13:07:50",33.8,-160.7,39,NA,NA,NA,NA,2.2e+10,0.079
"315",2015-12-21,"02:32:48",5.9,143,42.2,12.1,6.4,-10,2.5,8.3e+10,0.26
"316",2015-12-08,"00:34:23",-69.9,150.5,38,NA,NA,NA,NA,1.97e+11,0.55
"317",2015-11-13,"14:59:27",16,124.3,28,NA,NA,NA,NA,1.02e+11,0.31
"318",2015-11-02,"21:34:20",-41.4,33,37,NA,NA,NA,NA,7.8e+10,0.24
"319",2015-10-31,"11:34:30",9,-138,71,NA,NA,NA,NA,9.7e+10,0.29
"320",2015-10-30,"07:07:12",-85,-161.7,NA,NA,NA,NA,NA,1.8e+11,0.51
"321",2015-10-13,"12:23:08",-8,-52.5,38.9,12.9,-6.6,3.8,10.4,2.3e+10,0.082
"322",2015-10-11,"00:07:46",-55.4,-18.8,NA,NA,NA,NA,NA,3e+10,0.1
"323",2015-10-10,"09:57:51",-51,-21.1,51.8,11.8,-1.3,-5.1,10.6,3.6e+10,0.12
"324",2015-10-04,"21:02:17",22,-171.6,36.1,NA,NA,NA,NA,4.4e+10,0.15
"325",2015-09-17,"21:03:14",-43.1,94.9,NA,NA,NA,NA,NA,9.8e+10,0.3
"326",2015-09-14,"23:50:50",5.8,-15.2,NA,NA,NA,NA,NA,7e+10,0.22
"327",2015-09-08,"13:46:42",6.3,29.9,44.4,16.1,-11.5,-11.3,-0.9,2e+10,0.073
"328",2015-09-07,"01:41:19",14.5,98.9,29.3,21,16.8,-12,-3.8,1.798e+12,3.9
"329",2015-09-02,"20:10:30",39.1,40.2,39.8,24.1,10.3,-12.2,-18,3.7e+10,0.13
"330",2015-08-04,"10:24:59",-9.6,125.9,NA,NA,NA,NA,NA,2.9e+10,0.1
"331",2015-07-19,"07:06:26",20.6,-87.6,22,17.8,9.4,13,7.8,2.3e+10,0.082
"332",2015-07-12,"22:23:14",31,159.6,41,NA,NA,NA,NA,2.2e+10,0.079
"333",2015-07-04,"01:40:11",38.6,103.1,46.3,49,0.9,-40.4,-27.7,5.6e+10,0.18
"334",2015-06-14,"03:03:06",6.3,124.1,32.4,31.9,-4.7,-17.8,-26,7.1e+10,0.22
"335",2015-06-12,"17:03:35",-1.3,-32.1,43.5,NA,NA,NA,NA,1.76e+11,0.5
"336",2015-06-10,"17:43:03",-11.5,-161.9,61.1,NA,NA,NA,NA,3.84e+11,1
"337",2015-06-02,"08:44:50",-6.4,-142.7,NA,NA,NA,NA,NA,3.8e+11,0.99
"338",2015-05-20,"10:20:41",1,172.6,32.4,NA,NA,NA,NA,3.6e+10,0.12
"339",2015-05-18,"17:13:51",32.4,139.1,29,NA,NA,NA,NA,4.3e+10,0.14
"340",2015-05-10,"07:45:01",-46.3,-179.3,29.6,12.2,11.2,0.9,4.7,1.43e+11,0.42
"341",2015-05-07,"20:34:34",-21.5,-29.3,37,17.3,-16.2,-5.8,1.4,5.2e+10,0.17
"342",2015-04-30,"10:21:01",-48.7,139.1,26.7,12.9,12.2,-4.2,0.9,1.05e+11,0.32
"343",2015-04-21,"01:42:51",37.7,-39.6,37.4,21.3,-15.3,12.8,7.4,8.8e+10,0.27
"344",2015-04-10,"01:14:27",-42.8,8.2,NA,NA,NA,NA,NA,6.5e+10,0.21
"345",2015-04-08,"04:06:31",-25.5,51.5,36.3,19.2,8,-15.6,-7.9,1.73e+11,0.49
"346",2015-04-03,"01:39:38",8.4,-157.9,NA,NA,NA,NA,NA,4.2e+10,0.14
"347",2015-03-30,"21:33:52",-36.1,-5.5,33.1,13.8,-13.7,-1.7,0.8,6.4e+10,0.2
"348",2015-03-18,"00:04:50",-5.4,159.3,50,NA,NA,NA,NA,1.21e+11,0.36
"349",2015-03-11,"06:18:59",8,119.1,35.2,19.9,5.5,-10.5,-16,7.2e+10,0.23
"350",2015-03-08,"04:26:28",-39.1,-118.6,NA,NA,NA,NA,NA,2e+10,0.073
"351",2015-03-04,"04:30:05",-15.9,88.1,39.8,18,7.8,-16,-2.5,5.5e+10,0.18
"352",2015-02-26,"22:06:24",68,-149,33.7,21.1,5.6,-2.3,-20.2,1.88e+11,0.53
"353",2015-02-25,"10:53:24",12.4,-122.4,42,NA,NA,NA,NA,5.8e+10,0.19
"354",2015-02-17,"13:19:50",-8,-11.2,39,28.8,-28.2,3.4,4.6,3.3e+10,0.11
"355",2015-01-09,"17:31:47",-23.3,-49.2,NA,NA,NA,NA,NA,2.2e+10,0.079
"356",2015-01-09,"10:41:11",2,28.8,36,17.5,-10.7,-7.6,11.6,1.39e+11,0.41
"357",2015-01-07,"01:05:59",45.7,26.9,45.5,35.7,-35.4,1.8,-4.4,1.36e+11,0.4
"358",2015-01-02,"13:39:19",-31.1,140,38.1,18.1,4.5,-14.4,-10,2e+10,0.073
"359",2014-12-13,"02:53:52",86.7,-162.1,30.7,21.7,15.3,-13.3,-7.8,4.4e+10,0.15
"360",2014-12-12,"06:48:11",33.5,144.9,26.3,12,11.5,-2.8,-2.2,3.3e+10,0.11
"361",2014-12-09,"21:19:18",76.6,96.3,26.3,NA,NA,NA,NA,7.8e+10,0.24
"362",2014-11-28,"11:47:18",-45.8,-172.7,26.1,13.4,0.4,-1.4,13.3,7e+11,1.7
"363",2014-11-27,"12:12:52",-18.8,-73.4,38,NA,NA,NA,NA,5.5e+10,0.18
"364",2014-11-26,"23:16:51",-69.5,-179.7,23.3,25.3,21.3,2.2,13.4,1.18e+11,0.35
"365",2014-11-26,"17:40:16",-68.2,-24,37,19.9,-7,16.1,9.4,1.05e+11,0.32
"366",2014-11-04,"20:13:30",43.1,115.8,22.2,16,-7.2,-12.1,-7.7,1.56e+11,0.45
"367",2014-10-21,"18:55:37",22.2,-132.9,NA,NA,NA,NA,NA,3.4e+10,0.12
"368",2014-10-17,"14:07:36",-4.6,-66.3,39,NA,NA,NA,NA,7.2e+10,0.23
"369",2014-10-14,"10:25:03",-2,119.2,27.2,16.9,15,-6.9,-3.5,2.9e+10,0.1
"370",2014-10-06,"20:02:15",-43.7,85.7,NA,NA,NA,NA,NA,3.9e+10,0.13
"371",2014-09-09,"18:55:46",3.2,137.2,32.5,NA,NA,NA,NA,2.8e+10,0.098
"372",2014-09-05,"21:37:26",22.7,-150,NA,NA,NA,NA,NA,3.5e+10,0.12
"373",2014-08-29,"23:15:39",-6.2,-49.9,NA,NA,NA,NA,NA,2.6e+10,0.092
"374",2014-08-28,"03:07:45",3.2,-45.4,NA,NA,NA,NA,NA,3.4e+10,0.12
"375",2014-08-23,"06:29:41",-61.7,132.6,22.2,16.2,-2.3,5.7,16.5,3.819e+12,7.6
"376",2014-07-29,"07:38:07",-49.2,-172.2,NA,NA,NA,NA,NA,7.3e+10,0.23
"377",2014-07-29,"03:07:43",-33.9,-115.9,NA,NA,NA,NA,NA,5.3e+10,0.17
"378",2014-06-28,"02:40:07",18.9,141.2,26.3,12.4,12,3.5,-10.5,2.45e+11,0.67
"379",2014-06-26,"05:54:41",-71.5,93.4,28.5,11.2,7,2.9,8.3,6.1e+10,0.2
"380",2014-05-29,"01:12:36",21.9,-131.1,28.7,NA,NA,NA,NA,5.8e+10,0.19
"381",2014-05-16,"20:06:28",-39.4,-95.9,30.8,18,2.9,13.4,-12.5,1.36e+11,0.4
"382",2014-05-16,"12:42:48",-44.2,-176.2,44,16.5,14.4,4.6,6.5,3.09e+11,0.82
"383",2014-05-08,"19:42:37",-36.9,87.3,35.4,19,-2,-16.1,9.9,1.05e+12,2.4
"384",2014-03-29,"13:45:41",-28.7,121.5,30.7,16.3,10,-12.7,2.2,3.9e+10,0.13
"385",2014-03-18,"11:02:37",0,-111.8,30.5,NA,NA,NA,NA,5.4e+11,1.3
"386",2014-03-03,"15:00:21",-29,-94.9,NA,NA,NA,NA,NA,9.4e+10,0.29
"387",2014-02-18,"12:50:44",-32.8,-61.5,NA,NA,NA,NA,NA,2.6e+10,0.092
"388",2014-02-13,"06:47:42",13.3,-110.7,25,NA,NA,NA,NA,6.3e+11,1.5
"389",2014-01-15,"02:46:19",-18.5,141.8,29.6,NA,NA,NA,NA,1.4e+11,0.41
"390",2014-01-12,"16:00:48",2.9,64.4,37,16.2,-5.2,-15.1,2.6,7.8e+10,0.24
"391",2014-01-08,"17:05:34",-1.3,147.6,18.7,44.8,-3.4,-43.5,-10.3,3.1e+10,0.11
"392",2013-12-23,"08:30:57",39.5,2,34.3,15.1,-1.1,11.4,-9.9,1.47e+11,0.43
"393",2013-12-08,"03:10:09",32.8,-165.1,23.5,11.8,2.3,2.5,-11.3,6.4e+10,0.2
"394",2013-11-21,"01:50:35",44.7,35.3,59.3,12.4,-5,-11,-2.7,7.5e+10,0.23
"395",2013-10-12,"16:06:45",-19.1,-25,22.2,12.8,-8,8.4,-5.5,1.61e+12,3.5
"396",2013-10-09,"17:27:36",NA,NA,NA,NA,NA,NA,NA,6e+10,0.19
"397",2013-09-24,"15:31:16",-10.3,-164.7,40.7,NA,NA,NA,NA,1.6e+11,0.46
"398",2013-08-12,"18:08:02",-34.4,118.2,66.6,NA,NA,NA,NA,4.4e+10,0.15
"399",2013-07-31,"07:00:38",NA,NA,NA,NA,NA,NA,NA,3.9e+10,0.13
"400",2013-07-31,"03:50:14",-31.8,137.1,29.1,17.8,17.7,-2.3,-0.1,6.9e+10,0.22
"401",2013-07-30,"02:36:58",-50.2,90.2,25.6,18.8,15.9,-8.6,5.1,3.9e+11,1
"402",2013-07-27,"08:30:36",0.3,156.2,26.5,22.1,16,14.9,-3.3,1.2e+11,0.36
"403",2013-07-26,"11:32:26",21,-178.5,37,NA,NA,NA,NA,2e+10,0.073
"404",2013-07-18,"00:46:37",NA,NA,NA,NA,NA,NA,NA,2.2e+10,0.079
"405",2013-06-13,"02:51:14",NA,NA,NA,NA,NA,NA,NA,2.2e+10,0.079
"406",2013-06-01,"22:49:48",-65.6,138.4,28.9,NA,NA,NA,NA,3.4e+10,0.12
"407",2013-05-14,"23:20:21",-3,76.4,NA,NA,NA,NA,NA,2e+10,0.073
"408",2013-04-30,"08:40:38",35.5,-30.7,21.2,12.1,1,9,-8,5.11e+12,10
"409",2013-04-21,"06:23:12",-28.1,-64.6,40.7,14.9,5,14,1,1.066e+12,2.5
"410",2013-03-12,"10:32:59",-32.7,17.1,26,NA,NA,NA,NA,2.9e+10,0.1
"411",2013-02-20,"13:13:07",-23,-38.8,NA,13.6,-11,-8,-1,3.2e+10,0.1
"412",2013-02-15,"03:20:33",54.8,61.1,23.3,18.6,12.8,-13.3,-2.4,3.75e+14,440
"413",2013-02-07,"13:12:24",-18.8,-158.6,NA,NA,NA,NA,NA,6.5e+10,0.21
"414",2013-01-25,"07:40:18",60.3,-64.6,NA,NA,NA,NA,NA,3.4e+12,6.9
"415",2013-01-12,"03:04:21",-15.1,-155.6,36.1,NA,NA,NA,NA,4.8e+10,0.16
"416",2012-12-30,"07:25:35",17.3,-83.6,NA,NA,NA,NA,NA,1.98e+11,0.55
"417",2012-12-18,"11:19:17",NA,NA,NA,NA,NA,NA,NA,2.7e+10,0.095
"418",2012-11-20,"20:37:31",2.5,29.6,33.3,14.3,-12.2,-5.3,5.3,2.5e+10,0.089
"419",2012-11-20,"06:25:11",-8,-86,NA,NA,NA,NA,NA,1.2e+11,0.36
"420",2012-10-25,"15:57:19",NA,NA,NA,NA,NA,NA,NA,3e+10,0.1
"421",2012-10-19,"16:26:22",-75.4,49.6,29.3,13.2,-2.3,-3.9,12.4,2.3e+10,0.082
"422",2012-10-09,"00:54:55",51.2,-84.6,27.8,13.5,3.4,12,5.1,2.1e+11,0.58
"423",2012-10-03,"22:50:12",-41.5,-21.9,NA,17,-2.4,5.5,15.9,2.8e+11,0.75
"424",2012-10-02,"16:38:38",-8.1,-111.9,35,15.4,1.4,15.3,1,4.7e+11,1.2
"425",2012-09-28,"05:44:12",-6.9,73.7,NA,NA,NA,NA,NA,3.8e+10,0.13
"426",2012-09-18,"19:34:39",1.2,-52.2,28.1,18.3,-1.9,14.1,-11.5,2.44e+11,0.67
"427",2012-09-11,"22:07:30",-18.9,105.2,NA,NA,NA,NA,NA,5.2e+10,0.17
"428",2012-09-10,"01:03:32",-69.8,-111.7,23.8,16.9,-10.2,-5.2,12.4,2.3e+10,0.082
"429",2012-08-27,"06:57:43",-18.3,64.2,38.7,28.9,-8,-23.7,-14.5,6.8e+10,0.22
"430",2012-08-26,"14:55:47",11.8,117,36,12.7,5,-11.6,-0.7,2.49e+11,0.68
"431",2012-08-13,"05:31:53",NA,NA,NA,NA,NA,NA,NA,3.3e+10,0.11
"432",2012-07-27,"04:19:50",63.1,172.3,27.2,NA,NA,NA,NA,3.4e+10,0.12
"433",2012-07-25,"07:48:20",36.4,41.5,26.8,18.5,0.8,2,-18.4,1.33e+11,0.39
"434",2012-06-05,"07:44:54",NA,NA,NA,NA,NA,NA,NA,2.4e+10,0.086
"435",2012-05-25,"11:31:24",-41.8,-36.2,NA,NA,NA,NA,NA,6e+10,0.19
"436",2012-05-22,"08:31:42",NA,NA,NA,NA,NA,NA,NA,2.11e+11,0.59
"437",2012-05-15,"11:04:17",-61.8,-135.5,33.3,17.1,-0.8,1.1,17,1.32e+11,0.39
"438",2012-05-04,"21:54:49",76.7,-10.6,NA,NA,NA,NA,NA,2.29e+11,0.63
"439",2012-04-23,"22:01:10",36.2,107.4,25.2,NA,NA,NA,NA,4.4e+10,0.15
"440",2012-04-21,"16:08:23",-15.8,-174.8,NA,NA,NA,NA,NA,1.43e+11,0.42
"441",2012-04-19,"22:12:10",5.5,16.8,NA,NA,NA,NA,NA,3e+10,0.1
"442",2012-04-02,"16:50:33",28.1,-95.2,NA,NA,NA,NA,NA,3.2e+10,0.11
"443",2012-03-12,"06:40:44",2.5,139.8,25,11.8,0.1,-11.8,0.3,9.9e+10,0.3
"444",2012-03-03,"21:28:24",7.8,2.7,20.4,NA,NA,NA,NA,1.01e+11,0.31
"445",2012-03-01,"03:12:40",46.9,-29.8,NA,NA,NA,NA,NA,2.2e+10,0.079
"446",2012-02-24,"19:11:41",-22.7,30.8,NA,NA,NA,NA,NA,3.7e+10,0.13
"447",2012-02-17,"10:47:16",-3.2,-39.9,45.6,NA,NA,NA,NA,1.54e+11,0.44
"448",2012-02-16,"04:50:52",9.8,151.8,NA,NA,NA,NA,NA,9.8e+10,0.3
"449",2012-02-12,"05:25:52",-31.7,54.9,61,NA,NA,NA,NA,1.4e+11,0.41
"450",2012-02-04,"14:42:51",32.4,0.1,34.2,12.2,-3.9,10.9,4,1.5e+11,0.43
"451",2012-01-15,"12:26:20",-64.1,109.9,26.3,12.3,-1.9,5.1,11,2.1e+10,0.076
"452",2012-01-11,"02:23:15",32.2,88.5,NA,NA,NA,NA,NA,8.5e+10,0.26
"453",2011-12-19,"11:35:39",-30.2,52.6,36.1,NA,NA,NA,NA,1.35e+11,0.4
"454",2011-12-14,"05:01:38",-62.9,89.6,32.4,NA,NA,NA,NA,5e+10,0.16
"455",2011-12-11,"17:29:33",NA,NA,NA,NA,NA,NA,NA,2.9e+10,0.1
"456",2011-11-20,"05:25:05",-27.9,116.3,NA,NA,NA,NA,NA,2.3e+10,0.082
"457",2011-10-12,"07:13:20",-26.4,-78.4,NA,NA,NA,NA,NA,3.6e+10,0.12
"458",2011-09-13,"23:36:47",-19.9,-13.8,21.3,16.7,-3.7,1.8,16.2,6.7e+10,0.21
"459",2011-08-31,"09:44:13",18.6,-5.1,NA,NA,NA,NA,NA,2.7e+10,0.095
"460",2011-08-20,"20:01:37",-27.2,-2.8,NA,NA,NA,NA,NA,2.3e+10,0.082
"461",2011-08-18,"14:55:45",NA,NA,NA,NA,NA,NA,NA,2.3e+10,0.082
"462",2011-08-11,"02:56:08",NA,NA,NA,NA,NA,NA,NA,3.5e+10,0.12
"463",2011-08-04,"07:25:57",-40.7,-86.7,63,NA,NA,NA,NA,2.8e+10,0.098
"464",2011-07-27,"23:00:36",-45.3,63.5,29.6,NA,NA,NA,NA,4.4e+10,0.15
"465",2011-07-07,"23:25:54",NA,NA,NA,NA,NA,NA,NA,3.3e+10,0.11
"466",2011-07-05,"15:42:41",29.1,139.7,40.7,NA,NA,NA,NA,6.5e+10,0.21
"467",2011-07-04,"09:18:04",-51.7,175,NA,NA,NA,NA,NA,2.9e+10,0.1
"468",2011-06-16,"11:51:50",67.3,-21.4,40.5,NA,NA,NA,NA,2.4e+10,0.086
"469",2011-05-25,"05:40:02",4.1,14,59,11.6,-3.4,-10.8,2.4,2.28e+12,4.8
"470",2011-05-16,"13:39:06",-1.2,92.8,NA,NA,NA,NA,NA,2e+10,0.073
"471",2011-04-27,"20:38:09",1.4,-126.6,28.7,NA,NA,NA,NA,2.2e+11,0.61
"472",2011-04-27,"11:21:44",NA,NA,NA,NA,NA,NA,NA,2.4e+10,0.086
"473",2011-04-17,"11:21:44",NA,NA,NA,NA,NA,NA,NA,2.4e+10,0.086
"474",2011-04-11,"21:43:40",NA,NA,NA,NA,NA,NA,NA,3.8e+10,0.13
"475",2011-04-06,"08:30:55",71.1,-43.5,22.2,12.7,3.3,11.8,-3.5,1.48e+11,0.43
"476",2011-03-24,"20:23:58",0.6,-127.5,59,NA,NA,NA,NA,5.8e+10,0.19
"477",2011-03-23,"04:24:46",NA,NA,NA,NA,NA,NA,NA,3.1e+10,0.11
