"","Date","Time","Latitude (deg)","Longitude (deg)","Altitude (km)","Velocity (km/s)","vx","vy","vz","Total radiated Energy (J)","Total Impact Energy (kt)"
"478",2011-03-23,"04:16:32",-16.8,-85.6,NA,NA,NA,NA,NA,2.2e+10,0.079
"479",2011-03-01,"10:37:54",53.5,103.9,30.6,11.9,-6.7,-1.1,-9.8,3.7e+10,0.13
"480",2011-02-21,"05:07:03",26.3,43.7,44.4,18,10.3,-14.8,0.1,3.9e+10,0.13
"481",2011-02-12,"11:00:12",7.8,-95.3,NA,NA,NA,NA,NA,2e+10,0.073
"482",2011-01-21,"15:11:43",18.9,-44.6,61,NA,NA,NA,NA,7.2e+10,0.23
"483",2011-01-08,"19:38:44",33.3,-125.8,48,NA,NA,NA,NA,2.9e+10,0.1
"484",2010-12-25,"23:24:00",38,158,26,18.1,18,-2,-4,2e+13,33
"485",2010-12-14,"00:27:53",-4.9,175.5,24,NA,NA,NA,NA,3.9e+10,0.13
"486",2010-12-09,"02:54:07",-54.5,-169.7,66,NA,NA,NA,NA,6.3e+10,0.2
"487",2010-12-01,"06:31:46",-72.5,144.9,33.3,NA,NA,NA,NA,1.33e+11,0.39
"488",2010-11-21,"14:45:27",1.9,143.3,50,NA,NA,NA,NA,8.1e+10,0.25
"489",2010-11-19,"07:25:56",-10.3,148.8,30,NA,NA,NA,NA,3.3e+10,0.11
"490",2010-11-10,"08:26:35",74.5,-77.7,NA,NA,NA,NA,NA,6.8e+10,0.22
"491",2010-11-09,"13:05:46",-56.3,-16.7,37,NA,NA,NA,NA,8.6e+10,0.27
"492",2010-11-09,"06:56:52",-14,-160,26,NA,NA,NA,NA,2e+10,0.073
"493",2010-10-27,"11:27:39",-14.1,67.7,35.2,NA,NA,NA,NA,1.45e+11,0.42
"494",2010-10-08,"09:58:01",NA,NA,NA,NA,NA,NA,NA,2e+10,0.073
"495",2010-09-24,"12:02:07",-67.4,-50.6,NA,NA,NA,NA,NA,5e+10,0.16
"496",2010-09-18,"05:04:41",7.4,36.7,NA,NA,NA,NA,NA,6.7e+10,0.21
"497",2010-09-08,"19:51:36",-13.9,-65.5,46.3,NA,NA,NA,NA,6.5e+10,0.21
"498",2010-09-05,"23:37:33",-25.9,49,35.2,NA,NA,NA,NA,6.83e+11,1.7
"499",2010-09-03,"12:04:58",-61,146.7,33.3,12.3,9.8,-3.5,6.5,1.75e+12,3.8
"500",2010-08-17,"04:19:37",20.7,-114.3,33.3,NA,NA,NA,NA,2.1e+10,0.076
"501",2010-08-12,"02:59:36",NA,NA,NA,NA,NA,NA,NA,2.8e+10,0.098
"502",2010-08-05,"19:31:48",-21.5,46.6,NA,NA,NA,NA,NA,3.6e+10,0.12
"503",2010-07-15,"01:49:56",60.9,-178.1,NA,NA,NA,NA,NA,2.4e+10,0.086
"504",2010-07-06,"23:54:43",-34.1,-174.5,26,15.7,12.1,10,0.2,7.56e+12,14
"505",2010-06-26,"06:04:38",-0.5,133.2,50,NA,NA,NA,NA,1.13e+11,0.34
"506",2010-06-21,"06:42:00",-22.5,-120.9,NA,NA,NA,NA,NA,1.63e+11,0.47
"507",2010-06-17,"04:24:45",-26.1,100,42,NA,NA,NA,NA,1.19e+11,0.35
"508",2010-04-17,"02:21:58",13.1,-173,NA,NA,NA,NA,NA,5.6e+10,0.18
"509",2010-04-16,"04:38:52",1.8,-176.9,22.2,18.8,12.4,-13.2,-5.2,8.44e+11,2
"510",2010-04-06,"18:33:12",52.8,-146.5,NA,NA,NA,NA,NA,8e+10,0.25
"511",2010-03-18,"16:11:16",-32.4,-51.8,NA,NA,NA,NA,NA,1.75e+11,0.5
"512",2010-03-15,"15:55:43",NA,NA,NA,NA,NA,NA,NA,8e+10,0.25
"513",2010-03-14,"18:44:42",33.8,-90.2,35.6,NA,NA,NA,NA,4.2e+10,0.14
"514",2010-03-08,"22:44:41",18.2,110.1,53,NA,NA,NA,NA,3e+10,0.1
"515",2010-03-08,"22:02:07",32,-92.9,52,24.5,19.1,11,10.7,3.23e+11,0.85
"516",2010-02-28,"22:24:50",48.7,21,37,15.1,-11.7,2.7,-9.1,1.53e+11,0.44
"517",2010-02-26,"22:46:13",-37.3,-166,NA,NA,NA,NA,NA,2.37e+11,0.65
"518",2010-02-24,"19:55:58",-2.6,-102.2,NA,NA,NA,NA,NA,9.3e+10,0.28
"519",2010-01-15,"19:17:54",-8.3,27,25,14,-9.1,6,8.8,4.92e+11,1.2
"520",2009-12-31,"16:24:23",NA,NA,NA,NA,NA,NA,NA,8.3e+10,0.26
"521",2009-12-31,"12:50:25",37.9,-178.3,20.7,NA,NA,NA,NA,1.02e+11,0.31
"522",2009-11-25,"01:36:20",-52.8,136.5,NA,NA,NA,NA,NA,6.4e+10,0.2
"523",2009-11-21,"20:53:00",-22,29.2,38,32.1,3,-17,27,1e+13,18
"524",2009-11-18,"17:36:07",NA,NA,NA,NA,NA,NA,NA,8.5e+10,0.26
"525",2009-11-18,"07:07:19",40.4,-113.2,31.5,NA,NA,NA,NA,7.36e+11,1.8
"526",2009-11-14,"19:58:55",NA,NA,NA,NA,NA,NA,NA,2.3e+10,0.082
"527",2009-11-07,"11:31:59",45.5,-157.7,NA,NA,NA,NA,NA,2.2e+10,0.079
"528",2009-11-07,"10:41:38",24,64.1,37,NA,NA,NA,NA,4.2e+10,0.14
"529",2009-10-11,"12:49:51",-78.3,70.2,27.8,NA,NA,NA,NA,7.1e+10,0.22
"530",2009-10-08,"02:57:00",-4.2,120.6,19.1,19.2,14,-16,-6,2e+13,33
"531",2009-09-27,"22:22:48",-36,-67.6,37,NA,NA,NA,NA,8.9e+10,0.27
"532",2009-09-18,"20:13:56",7.7,-29.5,NA,NA,NA,NA,NA,1.44e+11,0.42
"533",2009-09-04,"02:23:18",42.5,110,28.3,24,19.2,-11.6,-8.5,9.65e+11,2.3
"534",2009-08-23,"21:17:19",-67.7,18.3,34,12.2,-6.9,5.3,8.5,2.8e+11,0.75
"535",2009-07-31,"02:13:19",8.9,-121.9,NA,NA,NA,NA,NA,2.5e+10,0.089
"536",2009-07-16,"06:39:05",-24.4,-59.8,32.2,NA,NA,NA,NA,7.27e+11,1.8
"537",2009-07-03,"04:02:00",NA,NA,NA,NA,NA,NA,NA,2.7e+10,0.095
"538",2009-06-27,"13:08:05",-26.6,-12.6,26.1,15.2,-11.6,1.6,9.7,3.2e+10,0.11
"539",2009-06-20,"11:04:41",NA,NA,NA,NA,NA,NA,NA,2.7e+10,0.095
"540",2009-06-18,"04:39:00",-23.7,-16,57.4,NA,NA,NA,NA,3.3e+10,0.11
"541",2009-06-09,"22:42:28",54.9,-152.7,34.2,NA,NA,NA,NA,2.81e+11,0.76
"542",2009-05-31,"06:05:47",19.7,-121,NA,NA,NA,NA,NA,1.43e+11,0.42
"543",2009-05-13,"20:20:16",NA,NA,NA,NA,NA,NA,NA,7.3e+10,0.23
"544",2009-05-04,"11:39:03",36.4,-160.4,40.7,NA,NA,NA,NA,1.4e+11,0.41
"545",2009-04-20,"04:01:39",6,84.3,NA,NA,NA,NA,NA,2.2e+10,0.079
"546",2009-04-10,"18:42:45",-44.7,25.7,32.4,19.1,-18.9,2.6,0.3,2.7e+11,0.73
"547",2009-03-15,"05:44:33",-21.7,-98.6,NA,NA,NA,NA,NA,3.2e+10,0.11
"548",2009-03-04,"00:38:05",NA,NA,NA,NA,NA,NA,NA,1.7e+11,0.48
"549",2009-03-01,"09:00:59",NA,NA,NA,NA,NA,NA,NA,2e+10,0.073
"550",2009-02-20,"12:15:57",-64.9,-70,NA,NA,NA,NA,NA,5e+10,0.16
"551",2009-02-07,"19:51:32",56.6,69.8,40,15.4,-2.4,-1.9,-15.1,1.6e+12,3.5
"552",2009-01-12,"22:24:56",47.8,-44.3,NA,NA,NA,NA,NA,4.8e+10,0.16
"553",2009-01-10,"07:42:39",-64,122.8,26.5,NA,NA,NA,NA,2.3e+10,0.082
"554",2008-12-24,"15:51:58",-68.9,-102,21.1,24.1,-13.4,18,8.8,3.5e+10,0.12
"555",2008-12-12,"11:36:36",-7,-9.7,50,NA,NA,NA,NA,2.16e+11,0.6
"556",2008-12-09,"06:08:16",NA,NA,NA,NA,NA,NA,NA,3.4e+10,0.12
"557",2008-11-24,"22:01:19",-57.9,146.1,34.8,23.7,21.5,10,0.4,1.46e+11,0.42
"558",2008-11-21,"00:26:44",53.1,-109.9,28.2,12.9,3.9,-4.1,-11.6,1.42e+11,0.41
"559",2008-11-18,"09:41:51",-29.4,75.9,35.2,22.4,-4,-15.2,-16,2.5e+10,0.089
"560",2008-11-09,"02:38:34",14.5,112.7,29.6,NA,NA,NA,NA,2.22e+11,0.61
"561",2008-10-21,"02:20:25",32.8,-165.6,29.6,11.3,9.6,5.8,1.5,4.6e+10,0.15
"562",2008-10-10,"09:34:18",-57.3,17,21.4,NA,NA,NA,NA,1.8e+11,0.51
"563",2008-10-07,"02:45:45",20.9,31.4,38.9,13.3,-9,9,3.8,3.95e+11,1
"564",2008-09-09,"09:49:41",NA,NA,NA,NA,NA,NA,NA,5.9e+10,0.19
"565",2008-08-16,"14:40:24",11.3,97.2,NA,NA,NA,NA,NA,1.31e+11,0.38
"566",2008-08-12,"11:44:10",-11.6,-175,NA,NA,NA,NA,NA,2e+10,0.073
"567",2008-08-07,"06:07:10",18.5,180,45.4,13.8,6.5,-12.1,1.7,4.1e+10,0.14
"568",2008-07-23,"14:45:25",38.6,68,31.5,14.5,-7.7,-8.2,-9.1,1.21e+11,0.36
"569",2008-07-22,"19:34:00",-17.8,-89.2,54.4,NA,NA,NA,NA,6.1e+10,0.2
"570",2008-07-11,"14:35:28",NA,NA,NA,NA,NA,NA,NA,5.2e+10,0.17
"571",2008-07-08,"15:55:30",72.8,147.3,52.2,21.7,-12.9,1.9,-17.4,6.6e+10,0.21
"572",2008-07-01,"17:40:19",37.1,-115.7,36.1,9.8,2.8,1.7,-9.2,3.6e+10,0.12
"573",2008-06-27,"02:01:23",-26.9,-17.7,33.7,23.1,-17.9,13,6.6,1.72e+11,0.49
"574",2008-06-18,"13:45:36",6.1,103.1,NA,NA,NA,NA,NA,2.1e+10,0.076
"575",2008-05-29,"21:23:56",15.7,-83.5,NA,NA,NA,NA,NA,2.1e+10,0.076
"576",2008-05-24,"10:18:10",0.8,162,37,14.2,7.9,3.1,11.4,1.5e+11,0.43
"577",2008-05-22,"20:50:28",46.9,134.5,NA,NA,NA,NA,NA,2.1e+10,0.076
"578",2008-05-15,"11:29:55",28,-41.5,NA,NA,NA,NA,NA,8e+10,0.25
"579",2008-05-06,"01:08:56",NA,NA,NA,NA,NA,NA,NA,5.7e+10,0.18
"580",2008-04-30,"01:18:38",-33.6,-35.1,NA,NA,NA,NA,NA,2e+10,0.073
"581",2008-04-07,"01:22:28",-31.8,-58.5,NA,NA,NA,NA,NA,2.1e+10,0.076
"582",2008-04-06,"16:03:34",NA,NA,NA,NA,NA,NA,NA,7.7e+10,0.24
"583",2008-03-15,"11:29:55",28,-41.5,26.7,12.9,-4.1,4.8,-11.2,5e+10,0.16
"584",2008-02-24,"19:33:14",NA,NA,NA,NA,NA,NA,NA,7.4e+10,0.23
"585",2008-02-19,"13:30:30",48.9,-119.8,NA,NA,NA,NA,NA,2e+10,0.073
"586",2008-02-18,"08:51:12",NA,NA,NA,NA,NA,NA,NA,5e+10,0.16
"587",2008-02-17,"12:19:16",74.9,-73.4,40.4,13.9,-5.8,-10.7,-6.7,1.1e+11,0.33
"588",2008-02-16,"08:38:39",NA,NA,NA,NA,NA,NA,NA,7.1e+10,0.22
"589",2008-01-18,"01:17:39",NA,NA,NA,NA,NA,NA,NA,4.4e+10,0.15
"590",2008-01-09,"03:53:15",-66.8,-67.3,31.5,11.6,4.3,5.7,9.1,4.1e+10,0.14
"591",2007-12-26,"06:46:20",-61.6,-158.9,NA,NA,NA,NA,NA,1.36e+11,0.4
"592",2007-12-20,"17:00:48",51.3,115.4,NA,NA,NA,NA,NA,1.22e+11,0.36
"593",2007-10-25,"19:35:38",-40.9,91.3,46.3,NA,NA,NA,NA,5.8e+10,0.19
"594",2007-10-12,"09:14:03",88.5,116.6,37,18.4,-4.5,-14.1,-10.9,3.3e+10,0.11
"595",2007-10-07,"13:31:01",-35.2,125.6,NA,NA,NA,NA,NA,5.8e+10,0.19
"596",2007-09-22,"17:57:12",-49.2,-85.5,30.2,16.9,-9.2,13.6,3.8,2.37e+11,0.65
"597",2007-06-11,"09:47:05",-23.4,-170.9,35.2,17,16.7,-2.1,-2.2,4.9e+10,0.16
"598",2007-06-08,"13:32:00",-52,175.3,38.9,NA,NA,NA,NA,2.35e+11,0.65
"599",2007-06-07,"21:28:12",21.9,53.1,29.6,NA,NA,NA,NA,3.1e+10,0.11
"600",2007-05-16,"16:20:58",-4.5,111.7,NA,NA,NA,NA,NA,3.8e+10,0.13
"601",2007-05-16,"04:45:52",-42.4,164,31.5,NA,NA,NA,NA,4e+11,1
"602",2007-05-04,"17:52:39",22.9,109.4,48,NA,NA,NA,NA,1.75e+11,0.5
"603",2007-04-18,"12:44:23",-83.7,-171.2,38,24.4,-5.3,-2.5,23.7,1.12e+11,0.33
"604",2007-04-16,"14:56:51",NA,NA,NA,NA,NA,NA,NA,2.4e+10,0.086
"605",2007-03-17,"06:48:35",7.1,4.1,32.5,14.5,-7.3,-1.9,-12.4,4e+10,0.13
"606",2007-03-15,"02:20:15",-44.1,-148.4,NA,NA,NA,NA,NA,2.5e+10,0.089
"607",2007-03-07,"15:16:49",NA,NA,NA,NA,NA,NA,NA,2.7e+10,0.095
"608",2007-02-02,"12:48:41",24,-37.2,35.5,NA,NA,NA,NA,3.4e+11,0.89
"609",2007-01-26,"22:22:21",3.7,99.7,NA,NA,NA,NA,NA,1.47e+11,0.43
"610",2007-01-22,"07:24:56",45.4,53.5,32,13.4,-3.3,-12.8,-1.9,7.6e+10,0.24
"611",2007-01-18,"13:51:10",5.3,-164.3,34.1,NA,NA,NA,NA,3.2e+10,0.11
"612",2007-01-17,"09:50:46",-8.7,50.8,33.3,NA,NA,NA,NA,5.48e+11,1.4
"613",2007-01-01,"11:43:29",44.4,116.5,53,NA,NA,NA,NA,3.6e+10,0.12
"614",2006-12-09,"06:31:12",26.2,26,26.5,15.9,4.9,-15,1.6,7.41e+12,14
"615",2006-12-07,"11:42:00",14,-140,NA,NA,NA,NA,NA,2.1e+10,0.076
"616",2006-12-01,"06:09:25",-13,30.7,NA,NA,NA,NA,NA,6.3e+10,0.2
"617",2006-11-13,"15:16:34",-44,43.3,NA,NA,NA,NA,NA,2.3e+10,0.082
"618",2006-10-24,"08:42:52",-1.9,-2.7,43,NA,NA,NA,NA,2.25e+11,0.62
"619",2006-10-14,"18:10:49",49.4,-175,44.4,23.9,4.9,23.4,-1,2.58e+11,0.7
"620",2006-10-09,"04:45:30",-47,78.9,22.2,NA,NA,NA,NA,4.1e+10,0.14
"621",2006-10-07,"12:18:53",-23,-61.8,40.7,NA,NA,NA,NA,4.1e+10,0.14
"622",2006-10-02,"19:10:27",14,53.1,42,NA,NA,NA,NA,9e+10,0.28
"623",2006-09-27,"08:33:43",-32,60.2,48.1,NA,NA,NA,NA,1.07e+11,0.32
"624",2006-09-23,"18:52:58",-29,-108,NA,NA,NA,NA,NA,1.21e+11,0.36
"625",2006-09-02,"17:57:58",NA,NA,NA,NA,NA,NA,NA,2.2e+10,0.079
"626",2006-09-02,"04:26:15",-14,109.1,44.1,14.2,10,-9.9,1.5,1.23e+12,2.8
"627",2006-08-29,"01:38:36",-44,-162,40.7,NA,NA,NA,NA,9.2e+10,0.28
"628",2006-08-18,"00:03:18",-43,33.4,47.2,NA,NA,NA,NA,3.2e+10,0.11
"629",2006-08-17,"10:43:34",-11,165.7,48.2,NA,NA,NA,NA,2.56e+11,0.7
"630",2006-08-15,"10:52:24",4.9,49.6,32.7,NA,NA,NA,NA,4.7e+10,0.16
"631",2006-08-09,"04:30:44",-23.1,53.7,37,NA,NA,NA,NA,1.02e+12,2.4
"632",2006-07-15,"23:55:45",-78.3,-5,29.6,12.4,0.1,2,12.2,8.5e+10,0.26
"633",2006-07-15,"15:22:49",31.1,45.6,38.9,30.2,9.2,-1.2,-28.7,1.63e+11,0.47
"634",2006-06-07,"00:06:28",69.2,22.5,40.7,19.6,6.1,4.6,-18,5.9e+10,0.19
"635",2006-05-28,"01:32:24",NA,NA,NA,NA,NA,NA,NA,2.6e+10,0.092
"636",2006-05-21,"07:51:11",-11.6,-25.5,NA,NA,NA,NA,NA,2.63e+11,0.71
"637",2006-05-07,"17:45:14",NA,NA,NA,NA,NA,NA,NA,3e+10,0.1
"638",2006-05-06,"15:39:06",-60.2,-152.3,35.2,NA,NA,NA,NA,1.28e+11,0.38
"639",2006-04-25,"18:46:53",NA,NA,NA,NA,NA,NA,NA,2e+10,0.073
"640",2006-04-08,"13:16:23",17.3,-113.2,33.3,NA,NA,NA,NA,1.27e+11,0.37
"641",2006-04-04,"11:30:08",26.6,-26.6,25,NA,NA,NA,NA,2.4e+12,5
"642",2006-03-14,"03:21:06",7,-64.6,35.2,NA,NA,NA,NA,1.44e+11,0.42
"643",2006-02-26,"07:30:06",NA,NA,NA,NA,NA,NA,NA,7e+10,0.22
"644",2006-02-06,"01:57:37",-54.5,18.1,35.2,NA,NA,NA,NA,1.19e+12,2.7
"645",2006-02-04,"08:38:05",36.9,-143.6,38.9,19.8,-8.8,3.4,-17.4,1e+11,0.3
"646",2006-01-28,"03:33:48",-51.7,56.4,37,18.7,8.4,-16.4,3.2,7.4e+11,1.8
"647",2006-01-27,"01:27:42",58.7,74.7,20,NA,NA,NA,NA,4.5e+10,0.15
"648",2006-01-26,"00:00:53",-79.8,-111,37,NA,NA,NA,NA,5.3e+10,0.17
"649",2006-01-10,"23:25:28",29.8,-12.7,32.4,16.9,-9.9,-6.3,-12.2,2.8e+10,0.098
"650",2006-01-08,"05:20:19",7.6,-28.2,NA,NA,NA,NA,NA,9.4e+10,0.29
"651",2005-12-29,"10:05:35",-3,-154.9,42.2,20.7,18.6,8.5,3.2,1.9e+11,0.53
"652",2005-12-24,"15:30:26",-54,17.3,66,NA,NA,NA,NA,1.81e+11,0.51
"653",2005-12-03,"12:45:49",-33.8,117.4,32.2,17,-12.1,-9.6,7.2,8.8e+10,0.27
"654",2005-12-01,"10:40:20",-6.4,-155.8,NA,NA,NA,NA,NA,3.2e+10,0.11
"655",2005-11-29,"07:33:16",7.6,-58.2,59.3,NA,NA,NA,NA,3.2e+10,0.11
"656",2005-11-15,"05:19:07",26.3,-113.4,32.4,NA,NA,NA,NA,2.5e+10,0.089
"657",2005-11-11,"20:34:23",21.4,-134.1,29.6,NA,NA,NA,NA,4.2e+10,0.14
"658",2005-11-09,"07:33:08",-31,145.9,30.7,13.8,13.5,-2.7,-0.7,7.3e+10,0.23
"659",2005-11-02,"07:04:32",33.9,-154.9,68.5,NA,NA,NA,NA,3.2e+10,0.11
"660",2005-11-02,"05:16:47",22.9,-123.8,74,NA,NA,NA,NA,6.7e+10,0.21
"661",2005-10-26,"21:30:47",-36.3,-80.5,16.7,NA,NA,NA,NA,1.38e+11,0.4
"662",2005-09-30,"19:04:06",-2.8,-84.1,53,NA,NA,NA,NA,2.2e+10,0.079
"663",2005-09-14,"01:08:52",11.6,27.3,33.3,NA,NA,NA,NA,2.5e+10,0.089
"664",2005-09-02,"07:59:47",13.5,73.1,NA,NA,NA,NA,NA,8.2e+10,0.25
"665",2005-08-20,"12:10:24",NA,NA,NA,NA,NA,NA,NA,2.7e+10,0.095
"666",2005-08-09,"14:35:45",-21.5,56.2,37,16.9,-16.3,4.3,1.4,2.5e+10,0.089
"667",2005-07-01,"22:36:15",-49.8,33.1,50,NA,NA,NA,NA,3.1e+10,0.11
"668",2005-06-18,"19:40:41",47.9,85.6,NA,NA,NA,NA,NA,2.3e+10,0.082
"669",2005-06-05,"01:56:09",34.8,90.9,NA,NA,NA,NA,NA,4.1e+10,0.14
"670",2005-06-03,"08:15:41",-31,-90.3,29.6,26.2,-1.5,25.3,6.7,8.2e+10,0.25
"671",2005-05-27,"14:12:13",-48.9,145.1,50.5,NA,NA,NA,NA,2e+10,0.073
"672",2005-05-14,"13:02:53",NA,NA,NA,NA,NA,NA,NA,1.29e+11,0.38
"673",2005-05-07,"09:31:44",-75.8,163.7,15.2,16.6,9.6,-9.7,9.4,2.6e+10,0.092
"674",2005-05-02,"20:10:36",17.7,36,NA,NA,NA,NA,NA,4.6e+10,0.15
"675",2005-04-22,"11:18:05",20.9,-36.7,37,NA,NA,NA,NA,2.2e+10,0.079
"676",2005-04-19,"07:37:47",-50.2,-146.4,38.5,16.8,9.3,13.8,2.5,2.32e+11,0.64
"677",2005-04-16,"10:40:38",NA,NA,NA,NA,NA,NA,NA,2e+10,0.073
"678",2005-04-15,"06:54:59",-43.8,-73.9,39,NA,NA,NA,NA,2.1e+10,0.076
"679",2005-04-14,"14:05:22",4.9,-176,26.5,NA,NA,NA,NA,7.1e+10,0.22
"680",2005-04-11,"05:20:29",-34.2,-95.7,37,NA,NA,NA,NA,1.06e+11,0.32
"681",2005-04-06,"01:30:24",-42.7,154.6,70,NA,NA,NA,NA,2.9e+10,0.1
"682",2005-04-05,"17:48:07",NA,NA,NA,NA,NA,NA,NA,3.5e+10,0.12
"683",2005-04-03,"01:45:29",-1,112.4,59.2,NA,NA,NA,NA,2.19e+11,0.61
"684",2005-04-02,"22:52:25",14.1,169.7,27.2,NA,NA,NA,NA,2.04e+11,0.57
"685",2005-03-31,"22:15:55",42.8,-36.2,NA,NA,NA,NA,NA,3.8e+10,0.13
"686",2005-03-18,"16:48:32",-9.7,-34.7,33,NA,NA,NA,NA,2.7e+10,0.095
"687",2005-03-12,"22:16:31",NA,NA,NA,NA,NA,NA,NA,2.2e+10,0.079
"688",2005-03-09,"15:47:36",-21.4,-157.9,44.4,NA,NA,NA,NA,5.3e+10,0.17
"689",2005-03-09,"12:49:08",14.3,142.7,30.7,NA,NA,NA,NA,4e+10,0.13
"690",2005-03-06,"17:32:51",NA,NA,NA,NA,NA,NA,NA,5.5e+10,0.18
"691",2005-02-22,"22:51:06",NA,NA,NA,NA,NA,NA,NA,4.1e+10,0.14
"692",2005-02-17,"22:52:36",48,-161.5,42.5,NA,NA,NA,NA,1e+11,0.3
"693",2005-01-19,"01:43:14",-27.5,-164.9,40.7,NA,NA,NA,NA,1.41e+11,0.41
"694",2005-01-02,"23:09:51",-21.3,154.7,35.2,21.5,20.2,-3.3,6.6,1.19e+11,0.35
"695",2005-01-01,"03:44:09",32.7,12.4,31.8,NA,NA,NA,NA,4.54e+11,1.2
"696",2004-12-29,"07:11:45",-8.5,171.8,NA,NA,NA,NA,NA,9e+10,0.28
"697",2004-12-13,"11:35:55",-9.7,155.3,NA,NA,NA,NA,NA,3.9e+10,0.13
"698",2004-12-11,"15:36:51",36,104.1,NA,NA,NA,NA,NA,3e+10,0.1
"699",2004-11-30,"08:32:53",61,-171,NA,NA,NA,NA,NA,1.81e+11,0.51
"700",2004-11-17,"03:13:04",NA,NA,NA,NA,NA,NA,NA,1.86e+11,0.52
"701",2004-10-14,"11:41:01",NA,NA,NA,NA,NA,NA,NA,9.3e+10,0.28
"702",2004-10-10,"11:05:28",NA,NA,NA,NA,NA,NA,NA,3e+10,0.1
"703",2004-10-07,"13:14:43",-27.3,71.5,35,19.2,-15.3,1,11.6,1.04e+13,18
"704",2004-10-04,"04:39:52",3.7,-150.9,NA,NA,NA,NA,NA,7.1e+10,0.22
"705",2004-09-28,"08:57:28",0.2,-101.1,NA,NA,NA,NA,NA,6.2e+10,0.2
"706",2004-09-03,"12:07:22",-67.7,18.2,31.5,NA,NA,NA,NA,7.26e+12,13
"707",2004-08-22,"10:01:33",-51.9,22.7,37,NA,NA,NA,NA,1.44e+12,3.2
"708",2004-07-29,"12:41:45",NA,NA,NA,NA,NA,NA,NA,2.5e+10,0.089
"709",2004-07-25,"05:29:13",NA,NA,NA,NA,NA,NA,NA,1.97e+11,0.55
"710",2004-07-22,"03:34:31",NA,NA,NA,NA,NA,NA,NA,3.5e+10,0.12
"711",2004-07-16,"00:11:01",NA,NA,NA,NA,NA,NA,NA,2.9e+10,0.1
"712",2004-07-04,"16:58:04",NA,NA,NA,NA,NA,NA,NA,7.9e+10,0.25
"713",2004-07-03,"20:47:22",NA,NA,NA,NA,NA,NA,NA,6.5e+10,0.21
"714",2004-06-12,"07:13:56",21.7,175.3,NA,NA,NA,NA,NA,1.04e+11,0.31
"715",2004-06-11,"15:41:40",NA,NA,NA,NA,NA,NA,NA,1.04e+11,0.31
"716",2004-06-05,"20:34:10",1.3,-174.4,43,19.5,9.4,17,-1.5,1.81e+12,3.9
"717",2004-06-04,"13:41:38",NA,NA,NA,NA,NA,NA,NA,3.39e+11,0.89
"718",2004-06-03,"21:59:15",NA,NA,NA,NA,NA,NA,NA,4.7e+10,0.16
"719",2004-06-03,"09:40:12",48.9,-120.4,NA,NA,NA,NA,NA,5.4e+10,0.18
"720",2004-05-18,"11:12:12",-28.1,-47.4,NA,NA,NA,NA,NA,3.94e+11,1
"721",2004-05-17,"02:08:27",-18.9,28.3,44,NA,NA,NA,NA,5.5e+10,0.18
"722",2004-05-06,"02:22:49",NA,NA,NA,NA,NA,NA,NA,4.9e+10,0.16
"723",2004-04-23,"00:33:41",NA,NA,NA,NA,NA,NA,NA,5.6e+10,0.18
"724",2004-04-22,"21:19:55",-15.2,55.1,NA,NA,NA,NA,NA,1.39e+11,0.41
"725",2004-04-22,"04:21:49",-44.3,83.3,29.6,16.3,8.5,-12.1,-6.8,6.24e+11,1.5
"726",2004-04-06,"03:24:49",-12,162.8,35,25.6,10.5,-23.2,-2.9,4.33e+11,1.1
"727",2004-03-26,"16:35:45",-7.6,155.1,46,NA,NA,NA,NA,2.4e+10,0.086
"728",2004-03-25,"09:39:26",-4.8,21,NA,NA,NA,NA,NA,2.1e+10,0.076
"729",2004-02-27,"01:18:54",NA,NA,NA,NA,NA,NA,NA,6e+10,0.19
